run number;step;mean norm-perception;SD;median norm-perception;iqr;q1;q3;agent 1;agent 2;agent 3;agent 4;agent 5;agent 6;agent 7;agent 8;agent 9;agent 10;agent 11;agent 12;agent 13;agent 14;agent 15;agent 16;agent 17;agent 18;agent 19;agent 20;agent 21;agent 22;agent 23;agent 24;agent 25;agent 26;agent 27;agent 28;agent 29;agent 30;agent 31;agent 32;agent 33;agent 34;agent 35;agent 36;agent 37;agent 38;agent 39;agent 40;agent 41;agent 42;agent 43;agent 44;agent 45;agent 46;agent 47;agent 48;agent 49;agent 50;agent 51;agent 52;agent 53;agent 54;agent 55;agent 56;agent 57;agent 58;agent 59;agent 60;agent 61;agent 62;agent 63;agent 64;agent 65;agent 66;agent 67;agent 68;agent 69;agent 70;agent 71;agent 72;agent 73;agent 74;agent 75;agent 76;agent 77;agent 78;agent 79;agent 80;agent 81;agent 82;agent 83;agent 84;agent 85;agent 86;agent 87;agent 88;agent 89;agent 90;agent 91;agent 92;agent 93;agent 94;agent 95;agent 96;agent 97;agent 98;agent 99;agent 100
11;0;0.35;0.35;0.20;0.48;0.08;0.56;0.98;1;0.21;0.16;0.34;0.04;0.45;0.03;0.53;0.01;0.4;0.12;0.99;0.34;0.1;0.81;0;0.12;0.84;0.96;0.66;0.18;0.42;0.1;0.1;0.26;0.03;0.18;0.09;0.23;0.1;0.1;0.08;0.91;0.45;0.4;1;0.05;1;0.09;0.32;0.11;0.07;0.04;0.08;0.02;0.18;0.01;0.03;0.44;0.98;0.98;0.01;0.11;0.07;1;0.29;0.07;0.99;0.02;0.22;0.04;0.97;0.23;0.19;0.26;0.12;0.07;0.05;0.01;0.18;0.09;0.37;0.15;0.65;1;0.05;0.35;0.23;0.11;0.08;0.35;1;0.02;0.64;0.88;0.99;0.27;0.98;0.25;0.14;0.36;0.14;0.97;1;0.24;0.07;0.15;0.77;0.06
12;0;0.37;0.35;0.22;0.55;0.10;0.64;0.54;0.11;0.03;1;0.11;0.18;1;0.01;0.97;0.81;0.22;0.29;0.02;0.95;0.34;1;0.57;0;0.13;1;1;0.28;0.38;0.06;0.95;0.45;0.45;0.25;0.12;0.07;0.4;0.02;1;0.01;0.87;0.24;0.98;0.04;0.01;0.14;0.43;0.29;0.91;0.2;0.36;0.13;0.03;0.4;0.07;0.07;0.01;0.09;0.38;0.1;0.42;0.01;0.88;0.29;0.11;0.81;0.17;0.16;0.18;0.17;0.05;0.94;0.13;1;0.98;0.2;0.29;0.03;0.68;0.63;0.02;0.02;0.37;0.3;0.1;0.01;0.23;0.14;0.1;0.84;0.15;0.1;0.03;0.22;0.16;0.88;0.05;0.04;0.99;1;0.91;0.53;0.82;0.13;0.09;0.11
13;0;0.36;0.35;0.21;0.55;0.09;0.63;0.91;0.16;0.19;0.09;0;0.2;0.04;0.96;0.24;0.03;0.11;0.05;0.17;0.03;0.22;0.9;0.04;0.06;0.56;0.95;0.99;0.87;0.21;0.97;0.32;0.14;0.16;0.25;0.94;0.27;0.38;0.18;0.76;0.07;0.21;0.37;0.23;0.26;0.1;0.86;0.15;0.04;0.16;1;0.06;0.05;0.22;0.91;1;0.42;0.99;0.02;0.11;0.99;0.07;1;0.04;0.04;0.11;0.85;0.26;0.86;0.55;0.21;0.78;0.05;0.38;0.02;0.87;0.97;0.12;0.51;0.08;0.08;0.27;0.59;0.11;0.22;0.26;0.03;0.21;0.07;0.53;0.03;0.01;0.14;0.09;0.98;0.13;0.33;0.1;0.13;0.05;0.09;0.98;0.85;0.88;0.06;0.13;0.12
14;0;0.35;0.36;0.19;0.57;0.08;0.64;0.91;0.87;0.02;0;0.03;0.9;0.11;0.16;0.04;0.06;0.08;1;0.65;0.96;0.08;1;0.09;0.13;0.4;0.95;0.09;0;0.16;0;0.27;0.64;0.48;0.12;0.19;0.16;0.09;0.12;0.94;0.15;0.67;0.07;0.2;0.97;0.2;0.96;0.97;0.17;0.27;0.23;0.04;0.42;0.12;0.97;0;1;0.29;0.95;0;0.2;0.2;0.89;0.05;0.12;0.03;0.19;0.27;0.21;0.27;0.36;0.01;0.1;0.07;0.41;0.03;0.08;0.11;0.28;0.06;0.36;0.07;0.02;0.94;0.03;0.18;0.21;0.09;0.99;0.07;0.02;0.06;0.11;0.95;0.98;0.93;0.31;0.24;0.07;0.94;0.98;0.04;0.24;0.55;0.99;0.16;0.14
15;0;0.37;0.35;0.20;0.60;0.09;0.69;0.28;0.14;0;0.89;0.51;0.59;0.99;0.58;0.1;0.05;0.05;0.19;0;0.99;0.67;0.2;0.25;0.31;0.44;0.2;0;0.09;0.76;0.36;1;0.13;0.2;1;0.12;0.09;0.33;0.26;0.07;0.19;0.05;0.06;0.08;0.99;0.02;0.07;0.79;0.03;0.82;0.15;0.02;0.96;0.86;0.05;0.14;0.18;0.13;0.07;0.09;0.6;0.08;0.99;0.17;0.97;0.76;0.02;0.98;0.03;0.13;0.32;0.44;0.83;0.24;0.29;0.13;0.18;0.11;0.21;0.03;0.15;0.13;0.87;0.37;0.1;0.01;0.97;0.03;0.03;0.14;0.29;0.76;0.99;0.75;0.32;0.1;0.12;0.86;1;0.1;0.56;0.27;0.58;0.14;1;0.02;0.89
16;0;0.34;0.35;0.16;0.46;0.07;0.53;0.24;0.12;0.07;0.05;0.2;0.26;0.94;0.3;0.11;0.07;0.11;0.79;0.05;0.08;0.66;0.29;0.21;0;0.18;0.38;0.07;0.31;0.48;1;0.04;0.11;0.16;0.09;0.42;0.96;0.04;0.1;0.06;0.35;0.38;1;0.1;1;0.09;0.19;0.06;0.07;0.1;0.01;0.11;0.86;0.12;0.14;0.1;0.13;0.32;0.07;0.27;0.82;0.91;0.93;0.05;0.99;0.98;1;0.99;0.11;1;0.11;0.04;0.26;0.06;0.04;0;0.31;0.11;0.96;0.99;0.34;0.24;0.12;0.03;0.27;0.83;0.95;0.06;0.09;0.99;0.18;0.14;0.01;0.25;0.79;0.93;0.02;0.16;0.92;0.05;0.98;0.05;0.09;0.06;0.08;0.03;0.27
17;0;0.34;0.35;0.17;0.50;0.06;0.55;0.03;0.14;0.36;0.11;0.28;1;0.06;0.16;0.02;0.05;0.23;0.24;0.96;0;0.04;0.95;0.04;0.11;0.14;0.19;0.78;0.76;0.06;0.05;0.85;0.75;0.05;0.97;0.05;0.14;0.11;0.87;0.09;0.16;0.91;0.17;0.14;0.35;0.07;0.19;0.54;0.14;0.03;0.99;0.3;0.27;0.09;0.09;0.02;0.05;0;0.04;0.14;0.96;0.01;0.94;0.05;0.02;0.34;0.48;0.36;0.41;0.45;0.17;0.88;0.45;0.44;0.28;0.03;0.16;0.3;0.99;0.11;0.17;0.06;0.11;0.93;0.91;0.41;0.59;0.16;0.98;0.02;0.08;0.04;0.99;0.01;0.18;0.95;0.92;0.02;0.31;0.93;0.74;0.04;0.04;0.12;0.21;0.02;1
18;0;0.34;0.34;0.20;0.40;0.08;0.48;0.24;0.03;0.98;0.28;0.88;0.98;0.11;0.36;1;0.89;0.94;0.7;0.1;0.69;0.48;0.97;0.16;1;0.04;0.23;0.14;0.06;0.03;0.21;0.09;0.22;0.34;0.05;0.99;0.99;0.2;0.03;0.01;0.97;0.08;0.96;0.13;0.04;1;0.15;0.3;0.12;0.95;0.06;0.07;0.25;0.95;0.95;0.16;0.24;0.57;0.1;0.38;0.25;0.92;0.03;0.17;0.01;0.15;0.11;0.15;0.3;0.84;0.03;0.07;0.03;0.1;0.72;0;0.39;1;0.23;0.29;0.81;0.48;0.22;0.04;0.06;0.12;0.16;0.06;0.22;0.08;0.15;0.03;0.14;0.24;0.4;0.43;0.04;0.1;0.07;0.08;0.03;0.08;0.02;0.03;0.28;0.23;0.41
19;0;0.36;0.35;0.19;0.54;0.08;0.62;0.08;0.99;0.02;0.06;0.19;0.07;0.04;0.11;0.34;0.04;0.98;0.45;0.09;0;1;0.94;0.23;0.57;0.17;0.09;0.98;0.98;0.27;0.19;0.22;0.06;0.08;0.02;0.97;0.06;0.12;0.47;0;0.12;0.11;0.91;0.07;0.34;0.18;0.07;0.15;0;0.14;0.4;0.17;0;0.21;0.18;0.08;0.27;0;0.07;0.41;0.09;0.18;0.92;0.95;0.06;0.52;0.62;0.83;0.21;0.99;0.62;0.15;0.09;0.19;0.84;1;0.13;0.12;0.05;0.45;0.06;0.83;0.93;0.17;1;0.74;0.35;0.07;0.29;0.04;0.14;0.06;0.13;0.93;0.05;1;0.9;0.82;0.91;0.09;0.25;0.98;0.01;0.53;0.29;0.27;0.15
20;0;0.35;0.37;0.19;0.63;0.07;0.70;0.54;0.95;0.07;0.96;0.89;0.1;0.07;0.07;0.96;0.01;0.01;0.1;1;0.06;0.02;0.06;0.06;0.3;0.08;0.04;0.25;0;0.08;0.14;0.07;0.94;0.07;0.88;0.37;0.37;0.2;0.87;0.39;0.07;0.74;0.2;0.32;0.96;0.13;0.05;0.99;0.07;0.19;0.06;0.27;0.04;0.15;0.26;0.99;1;0.43;0.31;0.99;0.04;0.96;0.31;0.1;0.99;0.02;0.01;0.11;0.07;0.96;0.15;0.41;0.9;0.04;0.34;0.45;0.03;0.02;0.29;1;0.1;0;0.99;0.69;0.21;0.22;1;0.19;0.15;0.18;0;0.02;0.07;0.71;1;1;0.06;0.02;0.04;0.18;0.1;0.45;0.2;0.02;0.23;0.13;1
