run number;step;mean norm-perception;SD;median norm-perception;iqr;q1;q3;agent 1;agent 2;agent 3;agent 4;agent 5;agent 6;agent 7;agent 8;agent 9;agent 10;agent 11;agent 12;agent 13;agent 14;agent 15;agent 16;agent 17;agent 18;agent 19;agent 20;agent 21;agent 22;agent 23;agent 24;agent 25;agent 26;agent 27;agent 28;agent 29;agent 30;agent 31;agent 32;agent 33;agent 34;agent 35;agent 36;agent 37;agent 38;agent 39;agent 40;agent 41;agent 42;agent 43;agent 44;agent 45;agent 46;agent 47;agent 48;agent 49;agent 50;agent 51;agent 52;agent 53;agent 54;agent 55;agent 56;agent 57;agent 58;agent 59;agent 60;agent 61;agent 62;agent 63;agent 64;agent 65;agent 66;agent 67;agent 68;agent 69;agent 70;agent 71;agent 72;agent 73;agent 74;agent 75;agent 76;agent 77;agent 78;agent 79;agent 80;agent 81;agent 82;agent 83;agent 84;agent 85;agent 86;agent 87;agent 88;agent 89;agent 90;agent 91;agent 92;agent 93;agent 94;agent 95;agent 96;agent 97;agent 98;agent 99;agent 100
69;12;0.59;0.25;0.61;0.27;0.48;0.74;0.6;0.37;0.56;0.57;0.57;0.57;0.47;0.38;0.62;0.47;0.86;0.74;0.78;0.81;0.68;0.66;0.16;0.47;1;0.58;1;0.54;0.99;0.64;0.66;0.58;0.62;0.16;0.34;0.33;0.29;0.59;0.6;0.73;0.48;0.7;0.37;0.75;1;0.01;0.51;0.49;0.35;0.77;0.73;0.52;0.55;0.02;0.71;0.87;0.18;0.45;0.36;0.12;0.83;0.84;0.56;0.74;0.76;0.99;0.89;0.63;0.6;0.74;0.98;0.67;0.55;0.14;0.78;0.25;0.01;0.42;0.53;0.28;0.75;1;0.65;0.86;0.75;0.54;0.67;0;0.99;0.65;0.62;0.66;0.74;0.67;0.01;0.52;0.71;0.84;0.74;0.55;0.5;0.7;0.9;1;0.6;0.52
70;12;0.41;0.26;0.43;0.34;0.22;0.56;0.43;0.48;0.56;0.01;0.02;0.57;0;0;0.98;0.39;0.01;0.56;0.41;0.42;0.55;0.69;0.45;0.5;0.02;0.45;0.51;0.4;0.53;0.19;0.02;0.53;0.01;0.39;0.08;0.48;0.99;0.38;0.41;0.54;0.2;0.19;0.99;0.47;0.86;0.27;0.11;0.34;0.23;0.75;0.36;0.6;0.02;1;0.43;0.51;0.74;0.57;0.64;0.47;0.33;0.99;0.02;0.01;0.63;0.08;0.59;0.01;0.35;0.12;0.02;0.29;0.35;0.32;0.55;0.6;0.27;0.37;0.32;0.36;0.63;0.84;0.51;0.69;0.41;0.18;0.62;0.25;0.82;0;0.3;0.1;0.63;1;0.64;0.09;0.44;0.48;0.41;0.11;0.45;0.6;0.45;0.48;0.54;0.49
71;12;0.54;0.24;0.52;0.32;0.39;0.71;0.76;0.71;0.43;0.38;0.42;0.25;0.66;0;0.91;0.99;0.47;0.46;0.52;0.44;0.58;0.63;0.48;0.49;0.57;0.37;0.32;0.23;0.34;0.72;0.4;0.68;0.65;0.42;0.67;0.51;0.74;0.53;0.01;0.72;0.42;0.71;1;0.77;0.6;0.39;0.44;0.53;0.62;0.76;0.23;0.44;0.37;0.74;0.74;0.99;0.68;0.38;0.57;1;0.55;0.45;0.61;0.31;0.45;0.91;0.85;0.85;0.48;0.47;1;0.28;0.55;0.98;0.52;0.87;0.22;0.83;0.76;0.69;0.43;0.31;0.49;0.41;0.34;0.31;0.6;0.44;0.33;0.48;0.37;1;0.25;0;0.57;0.55;0.8;0.63;0.01;0.44;0.55;0.27;0.02;0.94;0.68;0.26
72;12;0.44;0.24;0.43;0.26;0.32;0.58;0.74;0.24;0.01;0.53;0.4;0.98;0.63;0.37;0.59;0.79;0.06;0.48;0.28;0.6;0.4;0.06;0.98;0.73;0.52;0.53;0.49;0.33;0.47;0.48;0.33;0.52;0.49;0.29;0.32;0.2;0.32;0.42;0.48;0.34;0.49;0.32;0.36;0.22;0.58;0.69;0.38;0.44;0.18;0.02;0.17;0.75;0.01;0.48;0.56;0.32;0.98;0.98;0.46;0.79;0.01;0.35;0.57;0.33;0.28;0.57;0.68;0.47;0.5;0.02;0.35;0.01;0.58;0.82;0.49;0.64;0.68;0.67;0.81;0.32;0.63;0.65;0.39;0.5;0.27;0.3;0.35;0.4;0.34;0.82;0;0.34;0.47;0.38;0.62;0.35;0.12;0.78;0.09;0;0.3;0.42;0.29;0.43;0.45;0.99
73;12;0.40;0.25;0.36;0.32;0.22;0.54;0.27;0.16;0.15;0.46;0.19;1;0.29;0.53;0.99;0.18;0.04;0.53;0.03;0.63;0.35;0.45;0.64;0.12;0.59;0.68;0.16;0.34;0.29;0.32;0.24;0.51;0.38;0.2;0.65;0.17;0.58;0.02;0.22;0.61;0.24;0.01;0.38;0.53;0.43;0.38;0.4;0.01;1;0.47;0.63;0.7;0.49;0.48;0.09;0.76;0.31;0.22;0.76;0.05;0.34;0.53;0.7;0.35;0.71;0.27;0.19;0.48;0.37;0.18;0.01;0.3;0.33;0.1;0.42;0.68;0.44;0.48;0.34;0.79;0.24;0.49;0.34;0.26;0.21;0;0.42;0.19;0.27;0.99;0.39;0.73;0.99;0.3;0.3;0.57;0.72;0.4;0.28;0.25;0.53;0.21;0.14;0.28;0.59;0.99
74;12;0.47;0.27;0.46;0.35;0.30;0.65;0.82;0.64;0.29;0.75;0.27;0;0.42;0.22;0.37;0.19;0.99;0.55;0.11;0.49;0.39;0.25;0.69;0.51;0.63;1;0.52;0.56;0.47;0;0.61;1;0.58;1;0.48;0.74;0.11;0.44;0.01;0.41;0.53;0.57;0.33;0.48;0.46;0.72;0.02;0.42;0.45;0.63;0.42;0.35;0.31;0.37;1;0.37;0.31;0.34;0.37;0.46;0.68;0.54;0.69;0;0.51;0.76;0.37;0.93;0.43;0.3;0.65;1;0.75;0.24;0.28;0.01;0.58;0.61;0.74;0.11;0.99;0.67;0.89;0.22;0.57;0.29;0.3;0.31;0.69;0.24;0.76;0.44;0.34;0;0.29;0.91;0.58;0.18;0.56;0.45;0.02;0.02;0.65;0.71;0.02;0.4
75;12;0.52;0.23;0.50;0.30;0.36;0.66;0.49;0.68;0.75;0.42;0.99;0.62;0.66;0.01;0.62;0.35;0.51;0.81;0.29;0.31;0.44;0.31;0.63;0.46;0.99;0.35;0.44;0.42;0.33;0.16;0.71;0.52;0.45;0.37;0.37;0.46;0.34;0.37;0.53;0.36;0.44;1;0.55;0.38;0.55;0.01;0.43;0.39;0.24;1;0.55;0.01;0.71;0.42;0.36;0.68;0.54;0.7;0.37;0.99;0.47;0.77;0;0.55;0.35;1;0.48;0.54;0.72;0.26;0.61;0.66;0.56;0.31;0.81;0.62;0.46;0.86;0.34;0.52;0.65;0.52;0.47;0.68;0.52;0.65;0.24;0.61;0.68;0.37;0.45;1;0.3;0.25;0.55;0.28;1;0.12;0.34;0.35;1;0.82;0.62;0.71;0.46;0.67
76;12;0.38;0.23;0.37;0.28;0.20;0.48;0.41;0.3;0.99;0.42;0.31;0.99;0.54;0.49;0.12;0.36;0.46;0.4;0.48;0.49;0.52;0.53;0.32;0.31;0.48;0.58;0.21;0.76;0.54;0.2;0.4;0.23;0.42;0;0.75;0.37;0.25;0.43;0.2;0.12;0.42;0.4;0.34;0.27;0.47;0.62;0.11;0.12;0.34;0.35;0.15;0.36;0.33;0.14;0.6;0.44;0.38;0.42;0.65;0.45;0.07;0.19;0.99;0.71;0.29;0.42;0.34;0.01;0.31;0.3;0.31;0.47;0.42;0.46;0.23;0.59;0.5;0.16;0.01;0;1;0.37;0.39;0.16;0.01;0.48;0.16;0.2;0;0.18;0.18;0.36;0.64;0.52;0.63;0.01;0.41;0.01;0.24;0.02;1;0.46;0.77;0.74;0.2;0.21
77;12;0.47;0.28;0.50;0.36;0.28;0.64;0.51;1;0.75;0.42;0.18;0.27;0.89;0.19;0.54;0.44;0.01;0.65;0.73;0.84;0.77;0.57;0.69;0.5;0.5;0.28;0.64;0.01;0.59;0.39;0.18;0.53;0.82;0.02;0.39;0.4;0.01;0.77;0.48;0.54;0;0.64;0.66;0;0.23;0.54;0.43;0.3;0.98;0.28;0.49;0.83;0.31;1;0.5;0.3;0.99;0.37;0.79;0.52;0.57;0.25;0.23;0.66;0.99;0.02;0.25;0.62;0.21;0.99;0.32;0.23;0.57;0.58;0.54;0;0.01;0.5;0.52;1;0.83;0.44;0.98;0.55;0.01;0.3;0.8;0.68;0.36;0.18;0.56;0.15;0.02;0.47;0.55;0.52;0.31;0.01;0.37;0.55;0.62;0.71;0.44;0.46;0.33;0.28
78;12;0.47;0.24;0.46;0.26;0.34;0.60;0.35;1;0.16;0.4;0.87;0.55;0.59;1;0.34;0.01;0.52;0.43;0.56;0.32;0.01;0;0.65;0.44;1;0.36;0.12;0.29;0.46;0.46;0.53;0.79;0.2;0.47;0.61;0.48;0.02;0.31;0.37;0.31;0.59;0.67;0.19;0.83;0.66;0.9;0.57;0.47;0.41;1;0.47;0.33;0.39;0.41;0.52;0.65;0.23;0.43;0.62;0.48;0.34;0.3;0.83;0.89;0.57;0.41;0.57;0.41;0.73;0.56;0.23;0.57;0.64;0.47;0.57;0.43;0.52;0.67;0.34;0.61;0.4;0.57;0.34;0.31;0.59;0.63;0.33;0.28;0.45;0.8;0.49;1;0.82;0.26;0.19;0.55;0.63;0.45;0.34;0.18;0.43;0.01;0.01;0;0.42;0.38
79;12;0.53;0.23;0.54;0.24;0.41;0.65;0.51;0.56;0.42;0.6;0.6;0.49;0.54;0.38;0.57;1;0;0.28;0.52;0.64;0.63;0.55;0.21;0.65;0.66;0.67;0.47;0.25;0.57;0.28;1;0.33;0.77;0.51;0.01;0.72;0.41;0.63;0.85;0.38;0.61;0.69;0.38;0.55;0.67;0.2;0.6;0.38;0.52;0.59;1;0.88;0.51;0.27;0;0.43;0.48;0.43;0.46;0.02;0.53;0.46;0.65;0.27;0.59;0.99;0.33;0.41;0.78;0.02;0.46;0.71;0.83;0.64;0.5;0.69;0.4;0.53;0.63;0.28;0.58;0.56;0.52;0.65;0;0.61;1;0.57;0.99;0.5;0.67;0;0.57;0.62;0.54;0.64;0.43;1;0.69;0.44;0.69;0.84;0.3;0.51;0.69;0.4
80;12;0.31;0.22;0.25;0.23;0.17;0.40;0.36;0.27;0.11;0.18;0.98;0.02;0.29;0.24;0.2;1;0.17;0.19;0.12;0.49;0.2;0.55;0.01;0.16;0.18;0.78;0.3;0.41;0.36;0.09;0.83;0.33;0.69;0.2;0.13;0.33;0.01;0.21;0.38;0.17;0.99;0.42;0.01;0.4;0.53;0.21;0.21;0.26;0.18;0.01;0.15;0.15;0.25;0.23;0.54;0.53;0.21;0.35;0.11;0.4;0.23;0.54;0.36;0.17;0.37;0.26;0.12;0.24;0.27;0.67;0.25;0.21;0.01;0.31;0.4;0.01;0.12;0.25;0.39;0.33;0.01;0.02;0.51;0.26;0.4;0.21;0.42;0.57;1;0.55;0.02;0.29;0.39;0.36;0.2;0.01;0.29;0.6;0.2;0.14;0.25;0.13;0.47;0.4;0.33;0.13
81;12;0.49;0.29;0.49;0.40;0.30;0.70;0.75;0.54;0.57;0.72;0.79;0.45;0.98;0.01;0.5;0.56;0.01;0.39;0.65;0.17;0.38;0.33;0.37;0.98;0.01;0.81;0.77;0.46;0;0.43;0.99;0.35;0.4;0.24;0.69;0.54;0.99;0.51;0.6;0.23;0.44;0.81;0.4;0.4;0.01;1;0.4;0.01;0.31;0.57;0.08;0.99;0.48;0.59;0.89;0;0.77;0.37;0.57;0.78;0.7;0.04;0.1;0.37;0.71;0.99;0.41;0.65;0.77;0.27;0.01;0.58;1;0.36;0.46;0.52;0.72;0.28;0.27;0.01;0.57;0.8;0.47;0.5;0.01;1;0.11;0.28;0.74;0.6;0.64;0.39;0.99;0.35;0.53;0.49;0.21;0.23;0.98;0.49;0.22;0.31;0.08;0.66;0.6;0.67
82;12;0.44;0.21;0.44;0.27;0.31;0.57;0.64;0.58;0.65;0.36;1;0.66;0.52;0.37;0.36;0.83;0.48;0.01;0.37;0.67;0.67;0.01;0.49;0.69;0.51;0.66;0.25;0.2;0.31;0.36;0.51;0.41;0.6;0.37;0.51;0.22;0.24;0.52;0.39;0.51;0.3;0.27;0.45;0.27;0.24;0.38;0.39;0.64;0.7;0.31;0.54;0.45;0.57;0.54;0.13;0.85;0.38;0.53;0.02;0.38;0.52;0.67;0.43;0.55;0.36;0.57;0.01;0.25;0.5;0.18;0.3;0.37;0.01;0.67;0.34;0.48;0.17;0.02;0.57;0.5;0.42;0.44;0.25;0.4;0.74;0.36;0.65;0.23;0.68;0.44;1;0.29;0.4;0.99;0.39;0.3;0.09;0.63;0.58;0.61;0.41;0.22;0.51;0.62;0.55;0.47
83;12;0.51;0.27;0.50;0.39;0.31;0.70;0.47;0.63;0.51;0.45;0.56;0.23;0.01;0.6;0.21;0.41;0.3;0.19;0.69;0;0.52;0.19;0.4;0.69;0.64;0.68;0.6;0.29;0.98;0.75;0.55;0.84;0.77;0.29;0.55;0.58;0.61;0.48;0.46;0.29;0.32;1;0.76;0.44;0.78;0.73;0.32;0.43;0.3;0.8;0.02;0.99;0.76;0.83;0.68;0.99;0.37;0.44;0.72;0.31;0.42;0.02;0.3;0.53;0.61;1;0;0.57;0.8;0.38;0.74;0.62;0.05;0.82;0.35;0.99;0.26;0.46;0.39;0.6;0.18;0.58;0.66;0.48;0.26;1;0.25;0.31;0.46;0.02;0.99;0.41;0.58;0.86;0.99;0.4;0.36;0.17;0.99;0.25;0.63;0.31;0.7;0.02;0.71;0.5
84;12;0.49;0.27;0.46;0.34;0.29;0.63;0.29;0.21;0.46;0.01;0.28;0.62;0.53;0.01;0.46;0.28;0.02;0.43;0.38;0.58;0.29;0.77;0.25;0.42;0.34;0.47;0;0.57;0.78;0.38;0.67;0.76;0.14;0.31;0.47;0.62;0.6;0.21;0.11;0.01;0.22;0.55;0.51;0.55;0.74;0.67;0.23;0.35;0.14;0.46;0.72;0.56;0.35;0.6;0.34;0.29;0.38;0.99;0.57;0.45;0.39;0.8;0.45;0.99;0.38;0.24;0.87;1;0.64;0.54;0.55;0.41;0.01;0.64;0.58;0.43;0.86;0.44;0.87;0.56;0.15;1;0.93;0.86;0.99;1;1;0.48;0.43;0.31;0.99;1;0.33;0.66;0.48;0;0.58;0.41;0.28;0.6;0.25;0.52;0.15;0.58;0.23;0.42
85;12;0.41;0.28;0.40;0.35;0.22;0.57;0.25;0.16;0.73;0.98;0.42;0.43;1;0.02;0;0.33;0.77;0.13;0.35;0.72;0.13;0.29;0.28;0.5;0.36;0.21;0.57;1;0;0.49;0.01;0.21;0.01;1;0.41;0.24;0.36;0.48;0.46;0.57;0.39;0.57;0.94;0.09;0.42;0.44;0.01;1;0.48;0.49;0.25;0.72;0.68;0.37;0.86;0.01;0.06;0.37;0.48;0.57;0.03;0.34;0.47;0.17;0.23;1;0.02;0.28;0.14;0.63;0.18;0.84;0.01;0.99;0.56;0.23;0.52;0.34;0;0.22;0.3;0.31;0.26;0.4;0.42;0.37;0.86;0.6;0.46;0.02;0.43;0.55;1;0.39;0.4;0.57;0;0;0.41;0.45;0.22;0.64;0.45;0.38;0.19;0.83
86;12;0.45;0.26;0.44;0.31;0.28;0.59;0.4;0.54;0.49;0.44;0.66;0.75;0.74;1;0.23;0.3;0.54;0.89;0.43;0.41;0.6;0;0.15;0.45;0.02;0.28;0;0.66;0.97;0.71;0.36;0.02;0.33;0.57;0.99;0.23;0.52;0.39;0.37;0.31;0.49;0.51;0.4;0.32;0.49;0.14;0.18;0.5;0.55;0.26;0.46;0.3;0.66;0.11;0.98;0.27;0.89;0.02;0.28;0.2;0.56;0.65;0.73;0.66;0.35;0.25;0.72;0.67;0.56;0.36;0;1;0.51;0.36;0.11;0.28;0.15;0.49;0.39;0.53;0.29;0.4;0.39;1;0.24;0.24;0.99;0.68;0.35;0.51;0.58;0.25;0.49;0.79;0.55;0.49;0.13;0.78;0.09;0.01;0.47;0.5;0.36;0.24;0.8;0.31
87;12;0.53;0.26;0.55;0.34;0.36;0.69;0.59;0.74;0.99;0.58;0.37;0.24;0.4;0.63;0.57;0.56;0.37;0.59;0.34;0.86;0.48;0.16;0.11;0.47;0.15;0.79;0.65;0.9;0.9;0.5;0.55;0.81;0.02;0.67;0.31;0.45;0.69;0.3;0.22;0.41;0.83;0.76;0.54;0.7;0.35;0.78;0.36;0.82;0.56;0.43;0.02;0.13;0.26;0.57;0.4;0.02;0.31;0.55;0.69;0.83;0.62;0.53;0.8;0.99;0.3;0.66;0.82;0.63;0.35;0.65;0.29;0.76;0;0.26;0.99;0.49;0.61;0.5;0.58;0.01;0.55;0.6;0.91;0.39;0.27;0.41;0.98;0.9;0.54;0.67;0.35;0.52;0.71;0.64;0.51;1;0.38;0.02;0.7;0.59;0.99;0.59;0.01;0.61;0.55;0.44
88;12;0.54;0.23;0.55;0.29;0.39;0.68;0.41;0.77;0.5;0.91;0;0;0.32;0.88;0.33;0.44;0.59;0.47;0.6;0.4;0.62;0.74;0.64;0.01;0.65;0.71;0.01;0.45;0.6;0.27;0.66;0.44;0.39;0.02;0.46;0.75;0.39;0.48;0.55;0.38;0.64;0.77;0.47;0.54;1;0.44;0.73;0.95;0.55;0.67;0.67;0.71;0.55;0.69;0;0.25;0.35;0.69;0.38;0.61;0.53;0.51;0.39;0.34;0.55;0.67;0.62;0.35;0.69;0.56;0.34;0.56;0.5;0.36;0.32;0.28;1;0.56;0.28;0.77;0.72;0.95;0.49;0.58;0.51;0.24;0.69;0.64;0.99;0.66;0.62;0.55;0.64;0.45;0.98;0.4;0.31;0.55;0.82;0.99;0.69;0.61;0.99;0.37;0.55;0.29
89;12;0.51;0.30;0.48;0.43;0.30;0.72;0.73;0.98;0.56;0.36;0.8;0.15;0.44;0.98;0.41;0.64;0.37;0.98;0.69;0.02;0.41;0.34;0.44;0.99;0.46;0.98;0.35;0.56;0.35;0.89;0.23;0.99;0.62;0.4;0.38;0.57;0.52;0.15;0.78;0.57;0.99;0.02;0.81;0.34;0.22;0.01;0.14;0.47;0.97;0.48;0.52;0.58;0.63;0.39;1;0.91;0.3;0.28;0.6;0.21;0.38;0.27;0.26;0.64;0.3;0.01;0.11;0.37;0.23;1;0.35;0.56;0.65;0.91;0.18;0.6;0.35;0.62;1;0.01;0.02;0.61;0.98;0.72;0.54;1;0.41;0.51;0.82;0.99;0.33;0.23;0.01;0.18;0.58;0.11;0.92;0.94;0.44;0.77;0.55;0.13;0.58;0;0.42;0.27
90;12;0.45;0.28;0.42;0.39;0.24;0.62;0.01;0.45;0.47;0.84;0.32;0.19;0.42;0.31;0.02;1;0.1;0.73;0.57;0.18;0;0.63;0.83;0.06;0.28;0.39;0.99;1;0.98;0.49;0.63;0.97;0.52;0.51;0.69;0.2;0.36;0.15;0.04;0.2;0.56;0.01;0.36;1;0.1;0.31;0.35;0.68;0.49;0.32;0.06;0.34;0.18;0.23;0.57;0.57;0.21;0.47;0.31;0.23;0.59;0.73;0.41;0.3;0.52;0.65;0.61;0.91;0.31;0.15;0.83;0.76;0.46;0.39;0.62;0.48;0.99;0.36;0.36;0.98;0.41;0.02;0.43;0.5;0.58;0.85;0.2;0.42;0.42;0.42;0.32;0.34;0.24;0.99;0;0.02;0.02;0.68;0.28;0.17;0.64;0.6;0.24;0.49;0.76;0.27
91;12;0.46;0.24;0.42;0.26;0.32;0.58;0.33;0.41;0.83;1;0.16;0.38;0.39;0.5;0.58;0.24;0.24;0.54;0.49;1;0.02;1;0.98;0.43;0.27;0.56;0.5;0.01;0.46;0.32;0.9;0.4;0.65;0.29;0.63;0.49;0.51;0.34;1;0.42;0.47;0.4;0.72;0.72;0.39;0.36;0.4;0.26;0;0.41;0.34;0;0.38;0.38;0.69;0.31;0.25;0.72;0.32;0.64;0.29;0.35;0.25;0.14;1;0.71;0.59;0.26;0.36;0.51;0.21;0.3;0.52;0.37;0.44;0.52;0.43;0.4;0.32;0.31;0.58;0.44;0.6;0.98;0.31;0.43;0.67;0.51;0.33;0.41;0.84;0.66;0.46;0.02;0.33;0.48;0.53;0.17;0.39;0.36;0.43;0.04;0.03;0.61;0.86;0.79
92;12;0.58;0.20;0.60;0.20;0.51;0.70;0.99;0.52;0.52;0.63;0.62;0.43;0.46;0.36;0.48;0.56;0.46;0.64;0.51;0.8;0;0.69;0.51;0.77;0.65;0.73;0.55;0.47;0.59;0.98;0.49;0.52;0.88;0.49;0.63;0.55;0.59;0.65;0.62;0.76;1;0.51;0.69;0.34;0.75;0.29;0.71;0.71;0.73;0.76;0.49;0.55;0.54;0.66;0.63;0.51;0.64;0.48;0.66;0.64;0.58;0.59;0.55;0.7;0.73;0.69;0.18;0.46;0.22;0.41;0.02;0.62;0.29;0;0.63;0.59;0.01;0.69;0.79;0.7;0.45;0.91;0.77;0.39;0.68;0.78;0.51;0.66;0.62;0.02;0.53;0.71;0.51;0.54;0.58;0.64;0.75;0.84;0.69;0.68;0.59;0.9;1;0.72;0.32;0.59
93;12;0.45;0.27;0.39;0.33;0.27;0.60;0.25;0.15;1;0.39;0.27;0.46;0.49;0.37;0.64;0.4;0.36;0.59;0.78;0.25;0.41;0.27;0.39;0.46;0.99;0.5;0.28;0.02;0.28;0.7;0.38;0.23;0.01;0.01;0.41;1;0.64;0.42;0;0.01;0.4;0.99;0.65;0.33;0.79;0.01;0.9;0.63;0.32;0.58;0.27;0.18;0.7;0.82;0.39;0.57;0.76;0.4;0.55;0.28;0.8;1;0.23;0.19;0.79;0.39;0.61;0.23;0.5;0.84;0.39;0.29;0.31;0.87;0.25;0.14;0.35;0.23;0.35;0.22;0.42;0.99;0.35;0.52;0.02;0.54;0.02;0.3;0.6;0;0.21;0.53;0.58;0.14;0.42;0.29;0.43;0.31;0.37;1;0.42;0.26;0.39;0.99;0.28;1
94;12;0.45;0.29;0.42;0.42;0.22;0.64;0.46;0.6;0.4;0.38;0.22;0.38;0.43;0.01;0.55;0.68;0.99;0.5;0.99;0.77;0.98;0.45;0.78;0.62;0.13;0.64;0.92;0.99;0.81;0.01;0.22;0.25;0.09;0.42;0.57;0.15;0.65;0.28;0.14;0.01;0.12;0.2;0.47;0.98;0.4;0.18;0.44;0.31;0.28;0.78;0.91;0.13;0.73;0.43;0.27;0.63;0.14;0;0;0.4;0.55;0.68;0.62;0.37;0.37;0.71;0.6;0.98;0.21;1;0.53;0.38;0.43;0.23;0.31;0.24;0.22;0.38;0.18;0.57;0.41;0.38;0.28;0.9;0.16;1;0.54;0.56;0.09;0.51;0.91;0.67;0.48;1;0.02;0.02;0.34;0.32;1;0.61;0.01;0.2;0;0.42;0.02;0.77
95;12;0.49;0.25;0.46;0.30;0.35;0.65;0.53;0.64;0.56;0.46;0.19;0.41;0.44;0.45;0.57;0.55;0.31;0.4;0.02;0.82;0.42;0.77;0.72;0.28;0.35;0.45;0.01;0.48;0.54;0.43;0.02;0.61;0.43;0.3;0.66;0.98;0.5;0.48;0.73;0.25;0.99;1;0.43;0.01;0.67;0.15;0.68;0;0.4;0.38;0.73;0.82;0.99;0.65;0.88;0.36;0.39;0.4;0.49;0.15;0.37;0.2;0.27;0.34;0.41;0.77;0.51;0.61;0.66;0.53;0.41;0.34;0.34;0.28;0.2;0.65;0.57;0.28;1;0.54;0.37;0.55;0.72;0.52;0.36;0.54;0.26;0.45;0.75;0.41;0;0.77;0.61;0.7;0.09;0.35;0.41;1;1;0.51;0.38;0;0.58;0.82;0.55;0.43
96;12;0.46;0.17;0.47;0.15;0.39;0.54;0.31;0.36;0.52;0.52;0.42;0.55;0.56;0.01;0.7;0.46;0.54;0.73;0.49;0.49;0.47;0.53;0.29;0.43;0.57;0.77;0.44;0.25;0.62;0.54;0.5;0.52;0.71;0.14;0.54;0.41;0.48;0.44;0.52;0.44;0.5;0.4;0.57;0.65;0.52;0.27;0.36;0.01;0.35;0.23;0.46;0.35;0.51;0.59;0.74;0.33;0.4;0.46;0.52;0.5;0.48;0.01;0.58;0.64;0.56;0.01;0.49;0.45;0.41;0.39;0.48;0.5;0.47;0.32;0.43;0.31;0.28;0.53;0.22;0.59;0.33;0.41;0.43;0.45;0.46;0.47;0.67;0.68;0.45;0.27;0.51;0.45;0.7;0.59;1;0.39;0.47;0.47;0.01;0.37;0.56;0.68;0.62;0.39;0.55;0.02
97;12;0.46;0.25;0.49;0.34;0.28;0.62;0.63;0.61;0.45;0.56;0.13;0.78;0.31;0.73;0.4;0.48;0.51;0.1;0.55;0.18;0;0.59;1;0.77;0.42;0.21;0.61;0.34;0.39;0.5;0.2;0.01;0.66;0.01;0.53;0.05;0.48;0.37;0.51;0.28;0.69;0.62;0.08;0.67;0.01;0.45;0.57;0.28;0.1;0.62;0.46;0.62;0.38;0.23;0.46;0.56;0.22;0.66;0.81;0.53;0.69;0.68;0.7;0.45;0.72;0.37;0.46;0.49;0.76;0.02;0.38;1;0.45;0.1;0.31;0.59;0.63;0.18;0.13;0.29;0.56;0.64;1;0.69;0.76;0.52;0.09;0.6;1;0.54;0.44;0.4;0.55;0.76;0.26;0.01;0.79;0.51;0.49;0.45;0.56;0.1;0.56;0.57;0.02;0.18
98;12;0.51;0.25;0.49;0.30;0.35;0.65;0.29;0.81;0.29;0.45;0.18;0.91;0.68;0.92;0.62;0.38;0.94;0.26;0.61;0.38;0.99;0.63;0.5;0.49;0.46;0.19;0.53;1;0.23;0.48;1;0.02;0.51;0.36;0.79;0.62;0.49;0.24;0.89;0.57;0;0.56;0.25;0.47;0.44;0.52;0.47;0.61;0.54;0.24;0.36;0.98;0.25;0.01;0.78;0.37;0.47;0.01;0.5;0.23;0.46;0.44;0.73;0.13;0.25;0.22;0.98;0.63;0.49;0.01;0.65;0.99;0.74;0.58;0.38;0.41;0.65;0.66;0.39;0.68;0.83;0.01;0.26;0.63;0.22;0.43;0.43;0.48;0.54;0.65;0.41;0.43;0.59;0.89;0.32;0.83;0.4;0.62;0.66;0.28;0.48;0.32;0.58;0.56;0.99;0.41
99;12;0.40;0.24;0.36;0.34;0.25;0.58;0.63;0.42;0.31;0.68;0;0.58;0.31;0.68;0.11;0.05;0.72;0.81;0.2;0.01;0.31;0.29;0.3;0.55;0.53;0.02;0.16;0.5;0.16;0.65;0.13;0.25;0.2;0.22;0.45;0.56;0.35;0.23;0.56;0.43;0.39;0.24;0.01;0.57;0;0.01;0.41;0.32;0.8;1;0.33;0.51;0.17;0.21;0.61;0.02;0.33;0.01;1;0.27;0.45;0.84;0.65;0.8;0.01;0.57;0.32;1;0.34;0.2;0.62;0.63;0.27;0.13;0.67;0.34;0.8;0.59;0.28;0.43;0.36;0.37;0.41;0.52;0.14;0.44;0.25;0.3;0.65;0.36;0.27;0.74;0.49;0.27;0.3;0.61;0.55;0.29;0.4;0.69;0.59;0.28;0.01;0.61;0.37;0.53
100;12;0.46;0.27;0.41;0.37;0.28;0.65;0.63;0.01;0.74;0.48;0.01;0.45;0.79;0.32;0.99;0.27;0.65;0.63;0.34;0.16;0.98;0.47;0.5;0.33;0.18;0.24;0.88;0.17;0.28;0.37;1;0;0.54;0.22;0.41;0.55;0.61;0;0.99;0.83;0.34;0.41;0.28;1;0.34;0.29;0.24;0.79;0.41;0.01;0.59;0.22;0.83;0.36;0.22;0.55;0.32;0.21;0.98;0.78;0.36;0.21;1;0.3;0.22;0.66;0.23;0.28;0.45;0.88;0.98;0.32;0.4;0.4;0.6;0.42;0.01;0.65;0.33;0.99;0.31;0.28;0.47;0.65;0;0.57;0.79;0.89;0.3;0.26;0.9;0.16;0.18;0.33;0.4;0.43;0.48;0.46;0.51;0.81;0.74;0.28;0.44;0.34;0.21;0.33
